Start Report	End Report	ISRC	Artist	Title	Album	UPC	Country	Nb of plays	Royalties	Service	Provider	provider_id	Label
01-11-2012	30-11-2012	MX2831000001	La Reverdie	Ar Bleizi-mor	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	11	0.0167	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000001	La Reverdie	Ar Bleizi-mor	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0149	MBPP	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000001	La Reverdie	Ar Bleizi-mor	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	17	0.0963	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000002	La Reverdie	O tu qui servas	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	8	0.0122	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000002	La Reverdie	O tu qui servas	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0149	MBPP	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000002	La Reverdie	O tu qui servas	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0094	MPLS	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000002	La Reverdie	O tu qui servas	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000003	La Reverdie	L'autrier jost'una sebissa	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	7	0.0107	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000003	La Reverdie	L'autrier jost'una sebissa	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	8	0.1193	MBPP	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000003	La Reverdie	L'autrier jost'una sebissa	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	16	0.0906	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000004	La Reverdie	ChanÃ§onnete/A la cheminÃ©e/Veritatem	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	9	0.0137	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000004	La Reverdie	ChanÃ§onnete/A la cheminÃ©e/Veritatem	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0094	MPLS	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000004	La Reverdie	ChanÃ§onnete/A la cheminÃ©e/Veritatem	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000005	La Reverdie	Ich was ein chint so wolgetan	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	6	0.0091	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000005	La Reverdie	Ich was ein chint so wolgetan	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0094	MPLS	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000005	La Reverdie	Ich was ein chint so wolgetan	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0227	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000006	La Reverdie	Na coire ar na sleibhtibh	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0061	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000006	La Reverdie	Na coire ar na sleibhtibh	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	2	0.0298	MBPP	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000006	La Reverdie	Na coire ar na sleibhtibh	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000007	La Reverdie	FuwÃ«les in the frith	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0061	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000007	La Reverdie	FuwÃ«les in the frith	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0094	MPLS	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000007	La Reverdie	FuwÃ«les in the frith	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0227	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000008	La Reverdie	Bryd one brere	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	7	0.0107	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000008	La Reverdie	Bryd one brere	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0227	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000009	La Reverdie	Oseletto selvaggio	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0061	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000009	La Reverdie	Oseletto selvaggio	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0094	MPLS	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000009	La Reverdie	Oseletto selvaggio	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0227	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000010	La Reverdie	Aquila altera/Creatura gentile/Uccel di Dio	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0076	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000010	La Reverdie	Aquila altera/Creatura gentile/Uccel di Dio	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0094	MPLS	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000010	La Reverdie	Aquila altera/Creatura gentile/Uccel di Dio	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000011	La Reverdie	Aquila altera 2	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	3	0.0046	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000011	La Reverdie	Aquila altera 2	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0094	MPLS	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000011	La Reverdie	Aquila altera 2	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000012	La Reverdie	I' fu' giÃ  bianch'uccel	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	3	0.0046	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000012	La Reverdie	I' fu' giÃ  bianch'uccel	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000013	La Reverdie	ChosÃ¬ pensoso	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	3	0.0046	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000013	La Reverdie	ChosÃ¬ pensoso	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000014	La Reverdie	Con bracchi assai	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	3	0.0046	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000014	La Reverdie	Con bracchi assai	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	5	0.0283	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-11-2012	30-11-2012	MX2831000015	La Reverdie	Lucida pecorella	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	4	0.0061	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
