Start Report	End Report	ISRC	Artist	Title	Album	UPC	Country	Nb of plays	Royalties	Service	Provider	provider_id	Label
01-12-2012	31-12-2012	MX2831000001	La Reverdie	Ar Bleizi-mor	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	2	0.0048	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000001	La Reverdie	Ar Bleizi-mor	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0122	MBPP	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000001	La Reverdie	Ar Bleizi-mor	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	15	0.0867	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000002	La Reverdie	O tu qui servas	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	2	0.0048	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000002	La Reverdie	O tu qui servas	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	2	0.0116	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000003	La Reverdie	L'autrier jost'una sebissa	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	3	0.0072	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000003	La Reverdie	L'autrier jost'una sebissa	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0122	MBPP	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000003	La Reverdie	L'autrier jost'una sebissa	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	16	0.0925	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000004	La Reverdie	ChanÃ§onnete/A la cheminÃ©e/Veritatem	Bestiarium: Animals and Nature in the Middle Age	7502258850015	BE	1	0.097	MSPP	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000004	La Reverdie	ChanÃ§onnete/A la cheminÃ©e/Veritatem	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	2	0.0048	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000004	La Reverdie	ChanÃ§onnete/A la cheminÃ©e/Veritatem	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	2	0.0116	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000005	La Reverdie	Ich was ein chint so wolgetan	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0024	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000005	La Reverdie	Ich was ein chint so wolgetan	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0058	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000006	La Reverdie	Na coire ar na sleibhtibh	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0024	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000006	La Reverdie	Na coire ar na sleibhtibh	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0058	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000007	La Reverdie	FuwÃ«les in the frith	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0024	MMOD	The Recording Consort (MERLIN)	167	Cantus Records
01-12-2012	31-12-2012	MX2831000007	La Reverdie	FuwÃ«les in the frith	Bestiarium: Animals and Nature in the Middle Age	7502258850015	FR	1	0.0058	MPRM	The Recording Consort (MERLIN)	167	Cantus Records
