Format version	Start date	End date	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	Currency	Total tracks	Rightholder's tracks	Pro rata share	Revenue share	Subscriber number	Net revenue	Payable	EUR Payable	USD Payable
AT	Cantus Records	A	EUR	8702202	1	0.00	60	32028	12777.5632	0.0030	0.0030	0.0039
AT	iTinerant Classics	A	EUR	8702202	3	0.00	60	32028	12777.5632	0.0090	0.0090	0.0117
AT	Cantus Records	P	EUR	4470914	1	0.00	60	7705	53570.0940	0.0030	0.0030	0.0039
AU	Cantus Records	A	USD	41585696	1	0.00	60	123714	288733.1609	0.0042	0.0032	0.0042
AU	Videophonic	A	USD	41585696	1	0.00	60	123714	288733.1609	0.0042	0.0032	0.0042
AU	Cantus Records	P	USD	35108957	2	0.00	60	59207	565018.4959	0.0193	0.0149	0.0193
AU	Quindecim Recordings	P	USD	35108957	2	0.00	60	59207	565018.4959	0.0193	0.0149	0.0193
AU	Videophonic	P	USD	35108957	17	0.00	60	59207	565018.4959	0.1642	0.1267	0.1642
BE	Cantus Records	U	EUR	4268154	8	0.00	60	3958	13993.3035	0.0240	0.0240	0.0311
BE	Cantus Records	A	EUR	35690360	75	0.00	60	153117	39002.3352	0.2250	0.2250	0.2915
BE	iTinerant Classics	A	EUR	35690360	3	0.00	60	153117	39002.3352	0.0090	0.0090	0.0117
BE	Quindecim Recordings	A	EUR	35690360	4	0.00	60	153117	39002.3352	0.0120	0.0120	0.0155
BE	Videophonic	A	EUR	35690360	12	0.00	60	153117	39002.3352	0.0360	0.0360	0.0466
BE	Anima e Corpo Musica	P	EUR	11466975	22	0.00	60	21701	148520.7635	0.0660	0.0660	0.0855
BE	Cantus Records	P	EUR	11466975	15	0.00	60	21701	148520.7635	0.0450	0.0450	0.0583
BE	Videophonic	P	EUR	11466975	1	0.00	60	21701	148520.7635	0.0030	0.0030	0.0039
CH	Anima e Corpo Musica	A	EUR	9131692	1	0.00	60	34936	34390.9758	0.0023	0.0023	0.0029
CH	Cantus Records	A	EUR	9131692	62	0.00	60	34936	34390.9758	0.1401	0.1401	0.1815
CH	Cantus Records	P	EUR	9799778	52	0.00	60	17402	145514.1350	0.4633	0.4633	0.6003
CH	Quindecim Recordings	P	EUR	9799778	2	0.00	60	17402	145514.1350	0.0178	0.0178	0.0231
DE	Anima e Corpo Musica	U	EUR	4727330	1	0.00	60	7667	27327.7210	0.0030	0.0030	0.0039
DE	Cantus Records	U	EUR	4727330	1	0.00	60	7667	27327.7210	0.0030	0.0030	0.0039
DE	Tlen Huicani	U	EUR	4727330	19	0.00	60	7667	27327.7210	0.0570	0.0570	0.0739
DE	Videophonic	U	EUR	4727330	1	0.00	60	7667	27327.7210	0.0030	0.0030	0.0039
DE	Alqhai & Alqhai	A	EUR	234040200	2	0.00	60	658386	298328.6728	0.0060	0.0060	0.0078
