Format version	Start date	End date	Sender	Recipient	Aggregator	Disclaimer
1	10/01/12	10/31/12	Spotify	The Recording Consort	The Recording Consort	Confidential
Country	Label	Product	URI	UPC	EAN	ISRC	Track name	Artist name	Composer name	Album name	Quantity	USD Payable
US	Cantus Records	P	spotify:track:0twEERWr0VcMwONK3USMQU		7502258850794	MX2831201433	Amor hai vinto: Accompagnato - "In che strano e confuso..."	Ensemble Il Profondo, Johannes Keller, Flavio Ferri-Benedetti, Antonio Vivaldi	N/A	Passo di Pena in Pena: Cantate Italiane	1	0.007584249084249084249084249084
ES	Cantus Records	A	spotify:track:0twEERWr0VcMwONK3USMQU		7502258850794	MX2831201433	Amor hai vinto: Accompagnato - "In che strano e confuso..."	Ensemble Il Profondo, Johannes Keller, Flavio Ferri-Benedetti, Antonio Vivaldi	N/A	Passo di Pena in Pena: Cantate Italiane	4	0.01554915526950925181013676589
US	Quindecim Recordings	A	spotify:track:0A8zD44ph0T5OWaXk5jvDg		7509708980261	MX2831201304	Melodía en Fa	Alberto Cruzprieto, Jesus Suaste, Salvador Moreno	N/A	Salvador Moreno: El Hombre y Sus Canciones	2	0.002085969084423305588585017836
GB	Cantus Records	A	spotify:track:10nL8uxJ0iQAp9l3TTdTCC		7502258850176	MX2831000354	Ave Maris stella: I. Ave maris stella	Raúl Mallavibarrena, Musica Ficta, Musica Ficta, Francisco Guerrero	N/A	Francisco Guerrero: Motets	1	0.004871084337349397590361445783
ES	Cantus Records	P	spotify:track:1gVeH1mZh4NbN1WeoTcASv		7502258850787	MX2831201392	Keyboard Works: I. Almand	Guy Penson, Patrick Denecker, William Byrd	N/A	Scarborough Fair: English, Irish and Scotish Tunes	1	0.003887424633936261843238587425
ES	Cantus Records	A	spotify:track:1gVeH1mZh4NbN1WeoTcASv		7502258850787	MX2831201392	Keyboard Works: I. Almand	Guy Penson, Patrick Denecker, William Byrd	N/A	Scarborough Fair: English, Irish and Scotish Tunes	5	0.01943644408688656476267095736
ES	Cantus Records	A	spotify:track:1u4LFzTqRVMiPFNlPA6L6l		7502258850039	MX2831000033	Maundy Thursday: Jod. Manum suam	Musica Ficta, Raúl Mallavibarrena	N/A	Tomás Luis de Victoria: Lamentations of Jeremiah	2	0.007774577634754625905068382944
NZ	Cantus Records	P	spotify:track:1u4LFzTqRVMiPFNlPA6L6l		7502258850039	MX2831000033	Maundy Thursday: Jod. Manum suam	Musica Ficta, Raúl Mallavibarrena	N/A	Tomás Luis de Victoria: Lamentations of Jeremiah	2	0.0182750
ES	Quindecim Recordings	A	spotify:track:2oqqvTSpiSlnEvi4KDL7wP		7509708011460	MX2831201521	Tres Danzas Cubanas: I. Invitación	Gustavo Rivero Weber, Ignacio Cervantes	N/A	Impresiones Latinoamericanas: Obras para Piano	6	0.02332373290426387771520514883
ES	Quindecim Recordings	U	spotify:track:2oqqvTSpiSlnEvi4KDL7wP		7509708011460	MX2831201521	Tres Danzas Cubanas: I. Invitación	Gustavo Rivero Weber, Ignacio Cervantes	N/A	Impresiones Latinoamericanas: Obras para Piano	1	0.003887350054525627044711014177
US	Quindecim Recordings	A	spotify:track:2xk8i00vo9ev5xDYvqGqbY		7509708051503	MX2831200847	Del Viento, del Mar (2003)	Mexico City Woodwind Quintet, Georgina Derbez	N/A	Dreams For One America	1	0.001042984542211652794292508918
ES	Quindecim Recordings	A	spotify:track:6kKLgKwimLGo9CqnTOWwKB		7509708081968	MX2831200443	Cuicani, para Flauta y Clarinete	Beatriz Plana, Mario Lavista	N/A	Canto del Alba: Mu´sca para Flauta de Mario Lavista	1	0.003887288817377312952534191472
ES	Cantus Records	A	spotify:track:6kMoaDzyTWFagwJSGrcFjB		7502258850213	MX2831000472	Fantasia XVIII, de consonancias y redobles	Juan Carlos Rivera, Luis de Milán	N/A	Tañer de Gala: Vihuela Music	4	0.01554915526950925181013676589
FR	Cantus Records	U	spotify:track:6kMoaDzyTWFagwJSGrcFjB		7502258850213	MX2831000472	Fantasia XVIII, de consonancias y redobles	Juan Carlos Rivera, Luis de Milán	N/A	Tañer de Gala: Vihuela Music	1	0.004261538461538461538461538462
GB	Cantus Records	U	spotify:track:6kMoaDzyTWFagwJSGrcFjB		7502258850213	MX2831000472	Fantasia XVIII, de consonancias y redobles	Juan Carlos Rivera, Luis de Milán	N/A	Tañer de Gala: Vihuela Music	1	0.006689834515366430260047281324
US	Cantus Records	A	spotify:track:6kMoaDzyTWFagwJSGrcFjB		7502258850213	MX2831000472	Fantasia XVIII, de consonancias y redobles	Juan Carlos Rivera, Luis de Milán	N/A	Tañer de Gala: Vihuela Music	2	0.002085969084423305588585017836
ES	Cantus Records	U	spotify:track:6kMoaDzyTWFagwJSGrcFjB		7502258850213	MX2831000472	Fantasia XVIII, de consonancias y redobles	Juan Carlos Rivera, Luis de Milán	N/A	Tañer de Gala: Vihuela Music	1	0.003887350054525627044711014177
GB	Cantus Records	P	spotify:track:6kMoaDzyTWFagwJSGrcFjB		7502258850213	MX2831000472	Fantasia XVIII, de consonancias y redobles	Juan Carlos Rivera, Luis de Milán	N/A	Tañer de Gala: Vihuela Music	4	0.05025192307692307692307692308
ES	Quindecim Recordings	P	spotify:track:6wpIeoNUyxduG5EgpnNHxM		7509708000471	MX2831200704	Graciela y Buenos Aires	Arturo Nieto-Dorantes, Alvaro Bitrán, José Bragato	N/A	Instantes de Sol	1	0.003887424633936261843238587425
ES	Quindecim Recordings	A	spotify:track:6VvtTq4aRIrtDcOBrIEoQY		7509708092018	MX2831200383	Somebody Loves Me	Alberto Cruzprieto, George Gershwin	N/A	The Man I Love	10	0.03887288817377312952534191472
US	Tlen Huicani	A	spotify:track:7xqkIIEYtbZ51a804E17YZ		7502258850435	MX2831000871	Mis noches sin ti	Tlen Huicani, Demetrio Ortíz / Ma. Teresa Márquez	N/A	Latinoamericano	1	0.001042984542211652794292508918
ES	Tlen Huicani	A	spotify:track:7xqkIIEYtbZ51a804E17YZ		7502258850435	MX2831000871	Mis noches sin ti	Tlen Huicani, Demetrio Ortíz / Ma. Teresa Márquez	N/A	Latinoamericano	1	0.003887288817377312952534191472
US	Videophonic	U	spotify:track:01aGw9IeArKNLN8Qwn79Kt		7502258850756	MX2831200052	Lacrymosa	Alejandro Pinzón	N/A	Segunda Jornada, Nueva Música de Cámara en Xalapa	2	0.01014383561643835616438356164
ES	Videophonic	A	spotify:track:0LsMvRrSkcmtTcn4mwThv2		7502258850497	MX2831000970	Los Tres Golpes	Cuarteto de Saxofones de México	N/A	Mangüe	28	0.1088440868865647626709573612
FR	Videophonic	P	spotify:track:0LsMvRrSkcmtTcn4mwThv2		7502258850497	MX2831000970	Los Tres Golpes	Cuarteto de Saxofones de México	N/A	Mangüe	1	0.008453275109170305676855895197
US	Videophonic	A	spotify:track:0LsMvRrSkcmtTcn4mwThv2		7502258850497	MX2831000970	Los Tres Golpes	Cuarteto de Saxofones de México	N/A	Mangüe	5	0.005214922711058263971462544590
ES	Quindecim Recordings	U	spotify:track:1EsKqodfpfAmRLgOX4n2aq		7509708990314	MX2831200536	Danse (Tarantelle Styrienne)	Gustavo Rivero Weber, Claude Debussy	N/A	Piano Encores	1	0.003887350054525627044711014177
US	Tlen Huicani	A	spotify:track:1LXjkdGd9S7dQU2uR80GCa		7502258850398	MX2831000843	El Rey de la Huasteca	Tlen Huicani, José Hernández	N/A	De México a Paraguay	8	0.008343876337693222354340071344
